Korean	English	New-Ensata	Notes
스벤티마스 유형지	Sventimas Exile		lt: makes no sense; lit. “Devotion Exile” — “Devotee's Exile” = “Atsidavelio Exile” OR “Saint's Exile” = “Sventojo Exile”
카듀멜 절벽	Kadume Cliff		
칼레이마스 접견소	Kalejimas Visiting Room	Kalejimo Visiting Room 	lt: “Prison”
보관실	Storage		
독방구역	Solitary Cells		
작업장	Workshop		
심문실	Investigation Room		
그리나스 숲길	Grynas Trails		lt: “Pure” as in “uncontaminated”, or slang for “Cash”; spiritual purity is “Tyras”
그리나스 수련장	Grynas Training Camp		plural is “Griny” or “Tyrus”
그리나스 구릉지	Grynas Hills		
거대과일숲	Grand Fruit Forest	Giant Fruit Forest	Not in Wiki
			
-- Sub-Area Names			lt: mess of completely random nouns, verbs and adjectives. 
앱소바	Aebsova		
히스	Hyth		
살라비자	Salavija		
이쉬블리쉬	Ishiblysh		
네바싱가스	Nevasingas		
카베티	Kabeti		lt: to hang 
자코레	Zakole		
파수크티	Pasukti		
노레티	Noreti		
루디주	Rudiziu		
비나스	Vinas		
오쉬마스	Oshimas		
츠리즈	Chliz		
브랑긴티	Branginti		lt: to cherish 
파마이쉬	Pamaish		
사우사스	Sausas		
이리에노스	Erienos		
마로네	Malone		
세스티네	Sestine		
니에카스	Niekas		
위드로카	Wedroka		
미르쉬타	Mirshta		lt: is dying 
메일레	Meile		
파말두	Pamaldu		
아르카	Arka		
베이니카	Veinika		
우올리에	Uolie		
리우데지	Liudesy		
올리비나스	Olivinas		
파사두	Fasadu		
라욱티	Laukti		
아테지마	Atejima		
파사라	Pasara		
티킨티에	Tikintie		
이쉬가키	Ishgaki		
그리나	Gryna		
퓨리네	Purine		
템디티	Temdyti		
미르지나	Mirzina		
랑키나	Rankina		
슬랍투	Slaptu		
파슬례	Paslje		
수자디니	Suzadini		
피에바	Pieva		
세비니	Sevyni		
스바이굴	Svaigul		
압스바이기	Apsvaigy		
스마크라	Smakra		
아메스티	Amesti		
파스투마	Pastuma		
유졔츠	Uzjetsu		
게로베	Gerove		
팔듀오	Parduo		
페르겔레	Pergele		
드라사	Drasa		
즈모네	Zmone		
아모시	Amosi		
비스카	Viska		
바도바	Vadova		
코보스	Kovos		
네베키아	Nevekia		lt: Doesn't work 
렌테레자	Lenteleja		
잘리아빈	Zaliavin		
미글랑	Miglan		
쿠보티	Kuboti		
레다스	Ledas		
베버티	Beverti		
디델라	Didela		
그루부스	Grubus		
드로지바	Drozyba		
리에주베	Liezube		
파지네	Pazine		
프라스티	Prasti		
스타디티	Stadyti		
샤우라스	Shiauras		
아티달티	Atidalti		
수지베	Susive		
로디클레	Rodykle		
로왁티	Lowacti		
유오로스	Uoros		
들롱	Delon		
플루데	Flude		
불볘스	Bulvjes		
누데기	Nudegi		
나우딩가스	Naudingas		lt: Useful 
게베네	Gebene		
갓베스	Gatves		
아찔카	Atsylka		
뉴오더	Neuoder		
이쉬라이	Ishrai		
콩피스카	Konfiska		
라지기스	Razygis		
지티즈	Zitiz		
이즈다깅카스	Izdaginkas		
지베니	Gyveni		
부뷜비떼	Buvylvite		
모르꼬스	Morkos		
아다타	Adata		
암지나	Amzina		lt: Eternal 
지에도	Ziedo		
말코스	Malkos		
펠례다	Peljeda		
유제지	Uzesy		
그로비스	Grobis		
넬라스볘	Nelasve		
아몰라룰	Amolallul		
누압티	Nuapti		
바스티티스	Bastytis		
듀오클뤼	Duoklu		
수제티	Sudjeti		
둘키우	Dulkiu		
제메	Zeme		
메토스	Metos		
카파스	Kapas		
앱비자	Apvija		
파미르짓	Pamirsit		
마조나스	Mazonas		
파사가	Pasaga		
즈루기	Zlugi		
드지다	Dzida		
오데가	Odega		
아피니스	Apynys		
알쿠네	Alkune		lt: Elbow 
비에니사	Vienisa		
라타스	Ratas		
누오토리	Nuotori		
로도마	Rodoma		
지빈타	Zibinta		
겔토나스	Geltonas		
이즈발리타	Isvalyta		
쉬르나스	Shirnas		
디키네	Dykyne		
아파티	Apati		
네파토구	Nepatogu		
헤세드	Chesed		
게둘라	Gedulah		
체데크	Tzedek		
스비에샤	Sviecia		
케툴카	Keturka		
리키우오티	Rikiuoti		
이쉬플라우	Ishplau		
세시자	Sesija		
마르가스	Margas		
촐라스	Cholras		
슈뷜핀티	Shuvirpinti		
미에귀스타	Mieguista		
네파비	Nepavy		
뇨살루스	Nyosalus		
스팔바	Spalva		
기에드라	Giedra		
투스틴티	Tustinti		
라부레	Labure		
발리오	Valio		
파슐리마	Pasiulyma		
마자즈	Mazas		
마이루나스	Mairunas		
퓸푸라	Pumpura		
빌베	Virve		
필랴로제	Piliaroze		
우즈바이기	Uzbaigi		
나쉴나이떼	Naslaite		
발리마	Valyma		
르반다	Levanda		
로주스	Rojus		
졔다둘케	Ziodadulke		
라쉬아스	Lashias		
피에네들	Piene		
스파르무	Sparmu		
시다브라스	Sidabras		
슬라퍄	Slapia		
누그리아	Nugria		
즈벨쟌	Zvelgian		
베이드마	Veidma		
잉크스타	Inksta		
세르페	Cerpe		
수마제	Sumaze		
네프리토	Nefrito		
슬레핑가스	Slepingas		
안데일	Andale		
사크넬레	Saknele		
이쉬타카	Ishtaka		
멜라깅가스	Melagingas		
드뷔니	Dvyni		
나르바스	Narvas		
드루기스	Drugys		
밥스바	Vapsva		
이쉬필키	Ishpirki		
게이즈마	Geisma		
루스티베	Rustybe		
라주마	Rajuma		
이지두	Isdidu		
파비도	Pavydo		
레니스투	Lenistwo		
이즈겔베	Isgelbe		
틸라	Tyla		
긴타라	Gintara		
드레그나	Dregna		
뷔기오	Vuigio		
안츠바	Antsva		
랑케나	Rankena		
스비에사	Sviesa		
카라다스	Karadas		
크루바	Kruva		
탄킨타	Tankinta		
길리아이	Giliaii		
드리에자	Drieza		
니우러스	Niurus		
벨투이	Veltui		
이쉬시네티	Ishisineti		
아사라	Asara		
비레티	Byreti		
자이즈다	Zaizda		
수뷔테	Suvyte		
이쉼티니	Ishimtini		
반디마	Bandyma		
스칼디투	Skaldytu		
렝바스	Lengvas		lt: Light or Easy depending on context 
굼바스언덕	Gumbas		
이아너티스	Ianutis		
카클라스	Kaklas		
발디티	Valdyti		
힘나스	Himnas		
압사우가	Apsauga		
글로베자스	Globejas		
누오실둠	Nuosirdum		
스벤토베	Sventove		
앳가일라	Atgaila		
아우카	Auka		
말다	Malda		
발코나스	Balkonas		
세클루스	Seklus		
가이스라	Gaisra		
아이로디	Irody		
뷔토스	Vytos		
크리아쿨	Kriakul		
빌듈뤼	Virdului		
덤발	Dumbal		
나르디마	Nardyma		
그리유베	Griuve		
쉴루마	Shiluma		
네리쉬커스	Neryshkus		
루키타스	Rukytas		
펠레나	Pelena		
리엡스나	Liepsna		
카르스타	Karsta		
네기바스	Negyvas		
케튜리듀	Keturidu		
